"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"15-Feb-2022","EQ","1,699.00","1,746.75","1,690.45","1,682.20","1,742.30","1,738.25","1,721.75","1,953.90","1,244.75",4669915,"8,040,412,171.15",188794
"14-Feb-2022","EQ","1,690.00","1,718.55","1,678.25","1,721.35","1,684.00","1,682.20","1,698.58","1,953.90","1,244.75",7459637,"12,670,785,135.65",280769
"11-Feb-2022","EQ","1,740.00","1,745.95","1,713.00","1,769.60","1,719.65","1,721.35","1,720.68","1,953.90","1,244.75",7551371,"12,993,527,942.15",430200
"10-Feb-2022","EQ","1,755.65","1,773.90","1,748.75","1,737.30","1,771.60","1,769.60","1,760.55","1,953.90","1,244.75",4334630,"7,631,331,627.45",206904
"09-Feb-2022","EQ","1,735.00","1,743.00","1,725.00","1,717.30","1,739.00","1,737.30","1,736.09","1,953.90","1,244.75",3867244,"6,713,900,255.40",178730
"08-Feb-2022","EQ","1,710.00","1,725.00","1,696.00","1,715.00","1,708.60","1,717.30","1,712.06","1,953.90","1,244.75",6053401,"10,363,805,939.55",222044
"07-Feb-2022","EQ","1,722.20","1,732.00","1,695.40","1,741.10","1,713.00","1,715.00","1,714.37","1,953.90","1,244.75",4310209,"7,389,275,044.25",254813
"04-Feb-2022","EQ","1,732.00","1,753.95","1,710.15","1,738.55","1,740.00","1,741.10","1,736.20","1,953.90","1,241.00",4700077,"8,160,294,996.20",193857
"03-Feb-2022","EQ","1,779.00","1,779.00","1,734.00","1,787.10","1,736.30","1,738.55","1,755.15","1,953.90","1,241.00",3832922,"6,727,366,646.30",183506
"02-Feb-2022","EQ","1,789.00","1,792.80","1,772.00","1,772.05","1,787.65","1,787.10","1,785.72","1,953.90","1,241.00",4253717,"7,595,951,820.00",146941
"01-Feb-2022","EQ","1,766.10","1,780.00","1,734.70","1,736.20","1,773.00","1,772.05","1,766.97","1,953.90","1,241.00",5119935,"9,046,788,138.40",186159
"31-Jan-2022","EQ","1,718.00","1,749.50","1,715.35","1,686.20","1,737.85","1,736.20","1,736.84","1,953.90","1,241.00",8788872,"15,264,864,508.80",313682
"28-Jan-2022","EQ","1,681.00","1,727.55","1,679.50","1,678.60","1,685.80","1,686.20","1,701.31","1,953.90","1,231.00",10998502,"18,711,813,888.65",336935
"27-Jan-2022","EQ","1,702.00","1,709.70","1,665.00","1,722.15","1,686.95","1,678.60","1,681.31","1,953.90","1,231.00",11231734,"18,884,048,987.00",495160
"25-Jan-2022","EQ","1,726.60","1,740.00","1,700.50","1,736.80","1,721.95","1,722.15","1,719.33","1,953.90","1,231.00",9137653,"15,710,645,707.40",370958
"24-Jan-2022","EQ","1,765.00","1,768.65","1,728.00","1,785.70","1,734.00","1,736.80","1,744.48","1,953.90","1,231.00",7116712,"12,414,981,412.50",261123
"21-Jan-2022","EQ","1,795.00","1,808.00","1,776.00","1,823.70","1,788.00","1,785.70","1,789.19","1,953.90","1,231.00",8252758,"14,765,723,986.90",363701
"20-Jan-2022","EQ","1,844.00","1,848.00","1,815.50","1,867.05","1,825.20","1,823.70","1,827.81","1,953.90","1,231.00",5533463,"10,114,140,157.35",267078
"19-Jan-2022","EQ","1,916.00","1,916.00","1,862.85","1,920.75","1,865.00","1,867.05","1,880.01","1,953.90","1,231.00",5747770,"10,805,850,965.55",177957
"18-Jan-2022","EQ","1,922.10","1,945.00","1,911.45","1,939.50","1,918.00","1,920.75","1,924.08","1,953.90","1,231.00",3690315,"7,100,450,832.40",209492
"17-Jan-2022","EQ","1,938.55","1,953.90","1,930.50","1,929.35","1,938.60","1,939.50","1,941.46","1,953.90","1,231.00",5262464,"10,216,874,399.25",177946
"14-Jan-2022","EQ","1,882.00","1,933.00","1,881.00","1,896.80","1,925.00","1,929.35","1,912.85","1,933.00","1,231.00",7688506,"14,706,988,627.30",225842
"13-Jan-2022","EQ","1,905.00","1,912.50","1,866.35","1,877.45","1,895.30","1,896.80","1,894.19","1,914.05","1,231.00",14277630,"27,044,612,998.40",390078
"12-Jan-2022","EQ","1,868.90","1,889.00","1,860.00","1,855.60","1,875.80","1,877.45","1,874.25","1,914.05","1,231.00",5362535,"10,050,718,588.00",195948
"11-Jan-2022","EQ","1,855.00","1,870.00","1,850.15","1,850.75","1,860.00","1,855.60","1,860.06","1,914.05","1,231.00",5142287,"9,564,958,557.25",189308
"10-Jan-2022","EQ","1,815.00","1,869.90","1,813.00","1,814.30","1,852.10","1,850.75","1,852.30","1,914.05","1,231.00",7857560,"14,554,564,594.35",227924
"07-Jan-2022","EQ","1,815.45","1,836.00","1,806.80","1,817.80","1,816.00","1,814.30","1,818.56","1,914.05","1,231.00",4834389,"8,791,606,623.05",148117
"06-Jan-2022","EQ","1,828.00","1,828.00","1,800.00","1,844.65","1,820.50","1,817.80","1,812.08","1,914.05","1,231.00",6449205,"11,686,479,371.10",232721
"05-Jan-2022","EQ","1,900.00","1,902.90","1,840.00","1,899.15","1,848.00","1,844.65","1,857.54","1,914.05","1,231.00",6995719,"12,994,844,600.20",289755
"04-Jan-2022","EQ","1,898.45","1,906.65","1,878.00","1,898.45","1,901.00","1,899.15","1,888.87","1,914.05","1,231.00",3921999,"7,408,140,297.05",120603
"03-Jan-2022","EQ","1,887.75","1,914.05","1,887.75","1,887.75","1,899.00","1,898.45","1,904.82","1,914.05","1,231.00",3329616,"6,342,326,137.50",128107
"31-Dec-2021","EQ","1,890.00","1,898.35","1,871.65","1,892.85","1,893.00","1,887.75","1,887.20","1,909.80","1,231.00",4619420,"8,717,788,085.60",132766
"30-Dec-2021","EQ","1,884.50","1,909.80","1,874.35","1,885.55","1,897.00","1,892.85","1,895.39","1,909.80","1,231.00",4584738,"8,689,853,629.65",127547
"29-Dec-2021","EQ","1,883.50","1,893.80","1,876.40","1,888.00","1,883.25","1,885.55","1,885.99","1,895.90","1,231.00",3236635,"6,104,257,383.90",94918
"28-Dec-2021","EQ","1,880.70","1,895.90","1,878.40","1,866.15","1,885.20","1,888.00","1,887.13","1,895.90","1,231.00",3340933,"6,304,763,251.35",147835
"27-Dec-2021","EQ","1,860.00","1,874.50","1,845.05","1,863.50","1,869.40","1,866.15","1,863.95","1,875.75","1,231.00",2647733,"4,935,229,849.60",141608
"24-Dec-2021","EQ","1,872.95","1,875.75","1,854.00","1,857.60","1,863.40","1,863.50","1,864.33","1,875.75","1,152.05",3780347,"7,047,796,921.30",119651
"23-Dec-2021","EQ","1,831.25","1,861.60","1,827.00","1,824.70","1,856.15","1,857.60","1,849.59","1,861.60","1,152.05",4112933,"7,607,253,609.15",160898
"22-Dec-2021","EQ","1,825.00","1,829.15","1,812.35","1,811.60","1,824.00","1,824.70","1,820.18","1,848.00","1,152.05",4156428,"7,565,456,224.40",121978
"21-Dec-2021","EQ","1,801.00","1,838.00","1,801.00","1,798.90","1,814.70","1,811.60","1,821.91","1,848.00","1,152.05",5353584,"9,753,723,500.15",204777
"20-Dec-2021","EQ","1,801.70","1,829.65","1,787.30","1,820.85","1,800.70","1,798.90","1,805.20","1,848.00","1,152.05",5773891,"10,423,053,263.25",220523
"17-Dec-2021","EQ","1,820.00","1,842.00","1,806.75","1,771.60","1,823.00","1,820.85","1,822.81","1,848.00","1,148.20",18887243,"34,427,916,211.10",398575
"16-Dec-2021","EQ","1,762.65","1,777.60","1,758.00","1,734.20","1,777.00","1,771.60","1,768.37","1,848.00","1,148.20",4481031,"7,924,136,141.65",161944
"15-Dec-2021","EQ","1,745.00","1,747.95","1,721.20","1,752.15","1,734.90","1,734.20","1,732.61","1,848.00","1,148.20",3053149,"5,289,916,760.45",123458
"14-Dec-2021","EQ","1,730.90","1,763.00","1,710.35","1,744.65","1,743.75","1,752.15","1,746.72","1,848.00","1,148.20",4768144,"8,328,622,415.40",178424
"13-Dec-2021","EQ","1,767.05","1,771.35","1,738.80","1,759.25","1,747.00","1,744.65","1,751.26","1,848.00","1,148.20",4040584,"7,076,097,488.25",138705
"10-Dec-2021","EQ","1,760.00","1,763.75","1,746.00","1,763.45","1,757.05","1,759.25","1,754.36","1,848.00","1,136.00",1823469,"3,199,026,984.60",114797
"09-Dec-2021","EQ","1,759.00","1,769.40","1,742.00","1,753.35","1,758.00","1,763.45","1,757.23","1,848.00","1,136.00",2082171,"3,658,856,607.40",90007
"08-Dec-2021","EQ","1,733.00","1,759.80","1,732.60","1,711.65","1,752.40","1,753.35","1,749.49","1,848.00","1,136.00",3029169,"5,299,514,521.95",101838
"07-Dec-2021","EQ","1,701.10","1,724.90","1,694.00","1,695.30","1,711.45","1,711.65","1,711.29","1,848.00","1,136.00",4202122,"7,191,049,985.50",113379
"06-Dec-2021","EQ","1,730.00","1,733.95","1,691.50","1,735.55","1,694.95","1,695.30","1,705.47","1,848.00","1,136.00",3991449,"6,807,306,903.90",170662
"03-Dec-2021","EQ","1,771.10","1,786.65","1,732.55","1,748.25","1,737.60","1,735.55","1,758.49","1,848.00","1,105.05",6754012,"11,876,876,753.60",172077
"02-Dec-2021","EQ","1,715.00","1,750.50","1,711.35","1,714.90","1,748.00","1,748.25","1,737.73","1,848.00","1,105.05",5559574,"9,661,020,145.95",173258
"01-Dec-2021","EQ","1,715.00","1,741.90","1,713.00","1,712.65","1,717.00","1,714.90","1,726.72","1,848.00","1,105.05",5193264,"8,967,308,949.60",204083
"30-Nov-2021","EQ","1,704.55","1,729.90","1,700.05","1,696.35","1,717.00","1,712.65","1,713.80","1,848.00","1,105.05",14808963,"25,379,600,677.05",209403
"29-Nov-2021","EQ","1,691.00","1,712.00","1,669.15","1,691.65","1,696.20","1,696.35","1,694.69","1,848.00","1,105.05",3942776,"6,681,771,091.15",187081
"26-Nov-2021","EQ","1,702.55","1,718.35","1,684.00","1,722.40","1,689.55","1,691.65","1,701.47","1,848.00","1,091.00",4494181,"7,646,702,666.25",189716
"25-Nov-2021","EQ","1,700.00","1,726.20","1,696.95","1,696.00","1,722.50","1,722.40","1,715.34","1,848.00","1,091.00",4476260,"7,678,310,603.80",141756
"24-Nov-2021","EQ","1,740.00","1,740.50","1,688.00","1,736.90","1,690.20","1,696.00","1,712.88","1,848.00","1,091.00",7333061,"12,560,636,398.70",261744
"23-Nov-2021","EQ","1,735.10","1,747.25","1,710.00","1,759.40","1,727.50","1,736.90","1,732.65","1,848.00","1,091.00",8436160,"14,616,871,616.00",228363
"22-Nov-2021","EQ","1,784.00","1,785.40","1,751.15","1,779.40","1,760.25","1,759.40","1,766.39","1,848.00","1,091.00",6621839,"11,696,747,300.55",170729
"18-Nov-2021","EQ","1,781.60","1,789.45","1,759.00","1,787.45","1,774.00","1,779.40","1,773.94","1,848.00","1,091.00",4326924,"7,675,682,400.00",154647
"17-Nov-2021","EQ","1,792.55","1,802.00","1,780.70","1,792.30","1,790.55","1,787.45","1,792.60","1,848.00","1,091.00",4732492,"8,483,456,713.50",195585
"16-Nov-2021","EQ","1,790.00","1,808.95","1,777.00","1,787.15","1,791.40","1,792.30","1,797.43","1,848.00","1,091.00",6034233,"10,846,091,248.70",173120